UILOG::_UILOG_IS_ENTRY_REGISTERED, 5391
ITEMSET::IS_ITEMSET_VALID, 5367
MISC::GET_GROUND_Z_FOR_3D_COORD, 5291
WEAPON::_GIVE_WEAPON_TO_PED_2, 5203
MISC::IS_ORBIS_VERSION, 5189
CAM::DO_SCREEN_FADE_OUT, 5168
TASK::CLOSE_SEQUENCE_TASK, 5163
STREAMING::HAS_MODEL_LOADED, 5135
UNLOCK::_UNLOCK_IS_VISIBLE, 5111
ENTITY::FREEZE_ENTITY_POSITION, 5108
BUILTIN::CEIL, 5101
TASK::TASK_STAND_STILL, 5099
PED::SET_PED_KEEP_TASK, 5052
STREAMING::REQUEST_MODEL, 4952
ENTITY::HAS_ENTITY_BEEN_DAMAGED_BY_ENTITY, 4939
ENTITY::_0x203BEFFDBE12E96A, 4932
ENTITY::SET_ENTITY_INVINCIBLE, 4889
SOCIALCLUBFEED::_SC_FEED_SUBMIT_PRESET_MESSAGE, 4862
ANIMSCENE::_0x3AB6C7B0BB0DF4B1, 4851
TASK::TASK_PERFORM_SEQUENCE, 4763
TASK::GET_SCRIPT_TASK_STATUS, 4760
HUD::_0x8BC7C1F929D07BF3, 4742
TASK::TASK_FOLLOW_NAV_MESH_TO_COORD, 4739
DATABINDING::_DATABINDING_ADD_DATA_INT, 4724
PED::SET_PED_COMBAT_ATTRIBUTES, 4652
ANIMSCENE::_0xDF7B5144E25CD3FE, 4637
DATAFILE::_DATAFILE_GET_HASH, 4629
WEAPON::_0x959383DCD42040DA, 4525
ENTITY::IS_ENTITY_TOUCHING_ENTITY, 4503
WEAPON::GET_PED_AMMO_BY_TYPE, 4468
ITEMSET::GET_INDEXED_ITEM_IN_ITEMSET, 4406
PED::_0x2208438012482A1A, 4373
ENTITY::DOES_ENTITY_BELONG_TO_THIS_SCRIPT, 4323
DECORATOR::DECOR_SET_INT, 4291
WEAPON::_0x5C2EA6C44F515F34, 4254
INTERIOR::GET_INTERIOR_AT_COORDS, 4239
ITEMSET::GET_ITEMSET_SIZE, 4230
_NAMESPACE48::_0x7B204F88F6C3D287, 4226
ENTITY::HAS_ANIM_EVENT_FIRED, 4209
INVENTORY::_0x6452B1D357D81742, 4189
PLAYER::GET_PLAYER_PED, 4155
BUILTIN::SIN, 4126
BUILTIN::COS, 4115
PED::_0x772A1969F649E902, 4099
ITEMSET::CREATE_ITEMSET, 4096
PED::GET_PED_RELATIONSHIP_GROUP_HASH, 4040
WEAPON::_0x0556E9D2ECF39D01, 4027
ANIMSCENE::START_ANIM_SCENE, 4003
ANIMSCENE::_SET_ANIM_SCENE_PLAYBACK_LIST_BOOL, 4000
PED::_0xFB4891BD7578CDC1, 3975
UITUTORIAL::_UITUTORIAL_SET_RPG_ICON_VISIBILITY, 3853
TASK::IS_PED_ACTIVE_IN_SCENARIO, 3812
MAP::SET_BLIP_NAME_FROM_TEXT_FILE, 3780
VOLUME::_CREATE_VOLUME_BOX_WITH_CUSTOM_NAME, 3760
_NAMESPACE71::_0xDD1232B332CBB9E7, 3686
ENTITY::SET_ENTITY_VISIBLE, 3683
ENTITY::_SET_ENTITY_HEALTH, 3644
POPULATION::_0xF74E134F40192884, 3616
VOLUME::_0xF256A75210C5C0EB, 3561
WEAPON::_0xD955FEE4B87AFA07, 3548
CAM::_0x927B810E43E99932, 3480
COLLECTION::_0xF83D3DDA4D3C8169, 3480
INVENTORY::_0xE787F05DFC977BDE, 3477
SCRIPTS::TERMINATE_THIS_THREAD, 3464
PED::_0x3AA24CCC0D451379, 3462
ENTITY::IS_ENTITY_ATTACHED, 3419
ANIMSCENE::_0x95531A4A20CCE7BC, 3411
AUDIO::IS_SCRIPTED_SPEECH_PLAYING, 3406
ANIMSCENE::_CREATE_ANIM_SCENE, 3402
PED::_0xA911EE21EDF69DAF, 3400
PLAYER::_0x0751D461F06E41CE, 3388
COLLECTION::_0x3EA62E56F386C997, 3385
ANIMSCENE::_0x1F0E401031E20146, 3381
PED::CLEAR_PED_DAMAGE_DECAL_BY_ZONE, 3346
DECORATOR::DECOR_GET_BOOL, 3336
VOLUME::_0xF6A8A652A6B186CD, 3295
ITEMSET::DESTROY_ITEMSET, 3284
UNLOCK::_UNLOCK_SET_VISIBLE, 3242
TASK::_TASK_USE_SCENARIO_POINT, 3233
TASK::IS_PED_IN_WRITHE, 3207
WEAPON::_0x705BE297EEBDB95D, 3165
PED::IS_PED_A_PLAYER, 3157
ANIMSCENE::LOAD_ANIM_SCENE, 3149
DECORATOR::DECOR_SET_BOOL, 3141
POPULATION::_0xB56D41A694E42E86, 3141
PED::_0xCB9401F918CB0F75, 3140
ANIMSCENE::_GET_ANIM_SCENE_ENTITY_MATRIX, 3135
PED::_0x9C54041BB66BCF9E, 3080
PED::IS_PED_USING_ANY_SCENARIO, 3043
MISC::GET_FRAME_COUNT, 3039
MISC::_0xEE04C0AFD4EFAF0E, 3034
PED::_0x7DE9692C6F64CFE8, 3016
VEHICLE::_0xA8BA0BAE0173457B, 3009
ENTITY::SET_PED_AS_NO_LONGER_NEEDED, 3008
ANIMSCENE::_0xA9016536015DE29D, 2978
WEAPON::_0x1F7977C9101F807F, 2974
VOLUME::_0xF70F00013A62F866, 2947
ENTITY::IS_ENTITY_OCCLUDED, 2935
DATAFILE::_0x44B3A36933AC009C, 2933
EVENT::IS_SHOCKING_EVENT_IN_SPHERE, 2933
NETSHOPPING::_CASHINVENTORY_TRANSACTION_DELETE, 2909
PED::_0xB65A4DAB460A19BD, 2908
CAM::IS_SCREEN_FADING_OUT, 2903
PED::DELETE_PED, 2880
WEAPON::_0xCB690F680A3EA971, 2876
_NAMESPACE48::_0x4F76E3676583D951, 2869
OBJECT::CREATE_OBJECT, 2838
EVENT::_0x1A5C5D350068A673, 2833
UILOG::_UILOG_REMOVE_ENTRY, 2828
PED::_0xE3144B932DFDFF65, 2822
HUD::_0x4CC5F2FC1332577F, 2813
TASK::GET_PED_DESIRED_MOVE_BLEND_RATIO, 2810
ENTITY::SET_ENTITY_COORDS, 2798
ENTITY::GET_ENTITY_MAX_HEALTH, 2793
DATAFILE::_0xED4413CEE1BF142C, 2778
PED::IS_PED_DEAD_OR_DYING, 2776
ENTITY::IS_ENTITY_A_MISSION_ENTITY, 2738
PAD::IS_CONTROL_PRESSED, 2737
_NAMESPACE48::_0xA00DF706C60173D1, 2734
_NAMESPACE48::_0x31C70A716CAE1FEE, 2709
HUD::_UIPROMPT_SET_ATTRIBUTE, 2708
PED::_0xB676EFDA03DADA52, 2707
WEAPON::_0x6AD66548840472E5, 2669
ANIMSCENE::_0x3FBC3F51BF12DFBF, 2656
PED::IS_PED_PERFORMING_MELEE_ACTION, 2652
ENTITY::DETACH_ENTITY, 2643
ATTRIBUTE::SET_ATTRIBUTE_POINTS, 2638
ANIMSCENE::_0xEF324E9550A394D5, 2568
PED::_0xDF631E4BCE1B1FC4, 2567
AUDIO::IS_ANY_SPEECH_PLAYING, 2549
HUD::_0x806862E5D266CF38, 2530
ENTITY::GET_OFFSET_FROM_ENTITY_IN_WORLD_COORDS, 2521
TASK::TASK_LOOK_AT_ENTITY, 2504
_NAMESPACE84::_0x74BCCEB233AD95B2, 2503
VEHICLE::_0x0C3F0F7F92CA847C, 2499
PED::_0xD5FE956C70FF370B, 2497
SCRIPTS::_GET_NUMBER_OF_REFERENCES_OF_SCRIPT_WITH_NAME_HASH, 2480
SCRIPTS::IS_THREAD_ACTIVE, 2476
OBJECT::DELETE_OBJECT, 2471
ITEMSET::IS_IN_ITEMSET, 2470
ITEMDATABASE::_ITEM_DATABASE_FILLOUT_ITEM_INFO, 2464
CAM::_0xDD0B7C5AE58F721D, 2453
ANIMSCENE::_0x1B70811D3BF75DB9, 2452
DATAFILE::_0x91DED5DD64BB2691, 2443
MAP::_0x23F74C2FDA6E7C61, 2425
ENTITY::_0x9587913B9E772D29, 2423
CAM::_0x0A5A4F1979ABB40E, 2418
PED::SET_RAGDOLL_BLOCKING_FLAGS, 2412
VOLUME::_CREATE_VOLUME_CYLINDER_WITH_CUSTOM_NAME, 2404
STREAMING::REQUEST_COLLISION_AT_COORD, 2397
ANIMSCENE::SET_ANIM_SCENE_BOOL, 2382
PED::_0x34D6AC1157C8226C, 2375
PED::_0x5653AB26C82938CF, 2374
ANIMSCENE::_0x4B4038796F0D6566, 2371
WEAPON::_0x865F36299079FB75, 2370
_NAMESPACE48::_0x49A8C2CD97815215, 2344
PLAYER::_0x3EE1F7A8C32F24E1, 2342
