PAD::IS_CONTROL_JUST_PRESSED, 731
HUD::_0xD8402B858F4DDD88, 728
SCRIPTS::GET_ID_OF_THIS_THREAD, 724
PED::GET_PED_CONFIG_FLAG, 717
PED::IS_PED_IN_ANY_VEHICLE, 717
UITUTORIAL::_UITUTORIAL_SET_RPG_ICON_VISIBILITY, 707
PED::IS_PED_MALE, 705
SCRIPTS::GET_EVENT_DATA, 704
VOLUME::_0xF256A75210C5C0EB, 695
_NAMESPACE84::_0x74BCCEB233AD95B2, 694
_NAMESPACE26::_0xD6F6ACF4392187FB, 692
PED::IS_PED_DEAD_OR_DYING, 683
DATABINDING::_DATABINDING_READ_DATA_BOOL_FROM_PARENT, 680
BUILTIN::VDIST2, 677
GRAPHICS::ANIMPOSTFX_IS_RUNNING, 675
SCRIPTS::_0x54AE4FDEEFEAB77E, 673
HUD::_UIPROMPT_SET_ATTRIBUTE, 666
MAP::REMOVE_BLIP, 665
DATABINDING::_DATABINDING_INSERT_UI_ITEM_TO_LIST_FROM_CONTEXT_HASH_ALIAS, 660
MISC::GET_DISTANCE_BETWEEN_COORDS, 654
MISC::GET_RANDOM_FLOAT_IN_RANGE, 653
STREAMING::HAS_MODEL_LOADED, 651
DATABINDING::_DATABINDING_WRITE_DATA_HASH_STRING, 650
TASK::_0x19BC99C678FBA139, 647
ITEMDATABASE::_ITEM_DATABASE_FILLOUT_ITEM_INFO, 645
PLAYER::_0x263D69767F76059C, 645
PLAYER::_0x768E81AE285A4B67, 645
BUILTIN::SIN, 644
SCRIPTS::_GET_NUMBER_OF_REFERENCES_OF_SCRIPT_WITH_NAME_HASH, 644
STREAMING::REQUEST_MODEL, 644
PED::IS_PED_A_PLAYER, 641
BUILTIN::COS, 640
GRAPHICS::_0xC5CB91D65852ED7E, 640
WEAPON::GET_PED_AMMO_BY_TYPE, 637
CAM::DOES_CAM_EXIST, 633
PED::_0xDF631E4BCE1B1FC4, 632
ANIMSCENE::_0xCBFC7725DE6CE2E0, 630
SCRIPTS::_DOES_THREAD_EXIST, 625
ANIMSCENE::_0x477122B8D05E7968, 622
STATS::_STAT_ID_IS_VALID, 622
CAM::IS_SCREEN_FADED_OUT, 620
_NAMESPACE26::_0x0F99F6436528A089, 619
INVENTORY::_0x025A1B1FB03FBF61, 619
MAP::_0x662D364ABF16DE2F, 617
PLAYER::_0x0751D461F06E41CE, 616
UNLOCK::_UNLOCK_IS_VISIBLE, 609
INVENTORY::_0x4C543D5DFCD2DAFD, 602
TASK::_0x0F4F6C4CE471259D, 601
DATABINDING::_DATABINDING_GET_ARRAY_COUNT, 597
INVENTORY::_0xE787F05DFC977BDE, 596
WEAPON::GET_CURRENT_PED_WEAPON, 596
SCRIPTS::GET_NUMBER_OF_EVENTS, 595
SCRIPTS::GET_EVENT_AT_INDEX, 588
TASK::_0x954451EA2D2120FB, 588
NETWORK::NETWORK_IS_IN_SESSION, 581
INVENTORY::_0x13D234A2A3F66E63, 578
DATAFILE::_0x603AC35FD4602C76, 577
NETWORK::_0xFE53B1F8D43F19BF, 577
_NAMESPACE48::_0x800DF3FC913355F3, 574
PED::IS_PED_HUMAN, 573
TASK::_0x81948DFE4F5A0283, 573
